betaP, Volume Fraction
1.000000000000000056e-01,4.700027766961508563e-02
1.000000000000000056e-01,4.724385489384911457e-02
1.000000000000000056e-01,4.575453410211453853e-02
1.000000000000000056e-01,4.771819878589658032e-02
1.000000000000000056e-01,4.726537359671434402e-02
1.000000000000000056e-01,4.705162600385291022e-02
1.000000000000000056e-01,4.765189301337059702e-02
1.000000000000000056e-01,4.754426198560483124e-02
1.000000000000000056e-01,4.669135825149683949e-02
1.000000000000000056e-01,4.632487982105695790e-02
1.000000000000000056e-01,4.502430086199504106e-02
1.000000000000000056e-01,4.304568471446452993e-02
1.000000000000000056e-01,4.258069361928781132e-02
1.000000000000000056e-01,4.182229298577379295e-02
1.000000000000000056e-01,4.330034933277008419e-02
1.000000000000000056e-01,4.262916034140600691e-02
1.000000000000000056e-01,4.263856803180170185e-02
1.000000000000000056e-01,4.330545632364645597e-02
1.000000000000000056e-01,4.102012471155447315e-02
1.000000000000000056e-01,4.275319974976819065e-02
1.000000000000000056e-01,4.219803015229458415e-02
1.000000000000000056e-01,4.295083329267460753e-02
1.000000000000000056e-01,4.328295080969617875e-02
1.000000000000000056e-01,4.231005367589271704e-02
1.000000000000000056e-01,4.300643632998026045e-02
1.000000000000000056e-01,4.303978495089579720e-02
1.000000000000000056e-01,4.322874858073967597e-02
1.000000000000000056e-01,4.394673343947144012e-02
1.000000000000000056e-01,4.419333529941416733e-02
1.000000000000000056e-01,4.686368120696965400e-02
1.000000000000000056e-01,4.935547441663458434e-02
1.000000000000000056e-01,4.774761440802606505e-02
1.000000000000000056e-01,4.816303898221833274e-02
1.000000000000000056e-01,4.653291476700317786e-02
1.000000000000000056e-01,4.474955380004191907e-02
1.000000000000000056e-01,4.606648807423797259e-02
1.000000000000000056e-01,4.650136755261989607e-02
1.000000000000000056e-01,4.595018695409503612e-02
1.000000000000000056e-01,4.690047431557361340e-02
1.000000000000000056e-01,4.662193898461682029e-02
1.000000000000000056e-01,4.650125344939443073e-02
1.000000000000000056e-01,4.423515762118702954e-02
1.000000000000000056e-01,4.374997191653037798e-02
1.000000000000000056e-01,4.314785838094431503e-02
1.000000000000000056e-01,4.487396029932160663e-02
1.000000000000000056e-01,4.563250091275258824e-02
1.000000000000000056e-01,4.682376840631286008e-02
1.000000000000000056e-01,4.729269023665861466e-02
1.000000000000000056e-01,4.904235592410618322e-02
1.000000000000000056e-01,4.729258099355042322e-02
1.000000000000000056e-01,4.466414005029901296e-02
1.000000000000000056e-01,4.271524041156405521e-02
1.000000000000000056e-01,4.468380453984628631e-02
1.000000000000000056e-01,4.470406668689600599e-02
1.000000000000000056e-01,4.441663184691671540e-02
1.000000000000000056e-01,4.227586227801664182e-02
1.000000000000000056e-01,4.378271286696195502e-02
1.000000000000000056e-01,4.202182054292905727e-02
1.000000000000000056e-01,4.277092452355425733e-02
1.000000000000000056e-01,4.299136507534257606e-02
1.000000000000000056e-01,4.238693344470399055e-02
1.000000000000000056e-01,4.206085482279633275e-02
1.000000000000000056e-01,4.194106269459520198e-02
1.000000000000000056e-01,4.131199675473996857e-02
1.000000000000000056e-01,4.301442130628084504e-02
1.000000000000000056e-01,4.186948442253330543e-02
1.000000000000000056e-01,4.096329670191144884e-02
1.000000000000000056e-01,4.102956592679676828e-02
1.000000000000000056e-01,4.219214339609029391e-02
1.000000000000000056e-01,4.238828074406306157e-02
1.000000000000000056e-01,4.218815061559662988e-02
1.000000000000000056e-01,4.253562037896479325e-02
1.000000000000000056e-01,4.382827398315863182e-02
1.000000000000000056e-01,4.226096547725877867e-02
1.000000000000000056e-01,3.984475136396067874e-02
1.000000000000000056e-01,3.840020684146163571e-02
1.000000000000000056e-01,3.756468163964993973e-02
1.000000000000000056e-01,3.733250186240339580e-02
1.000000000000000056e-01,3.799506105683218143e-02
1.000000000000000056e-01,3.671768390905721935e-02
1.000000000000000056e-01,3.661376975441423681e-02
1.000000000000000056e-01,3.676011229002933839e-02
